date,game visitor,chief,crew1,crew2
1214,Phoenix,Sean Wright,Jacyn Goble,Matt Boland
1215,Houston,John Goble,Leon Wood,Lauren Holtkamp
1215,Atlanta,Pat Fraher,Karl Lane,Andy Nagy
1215,Miami,Curtis Blair,Justin Van Duyne,Aaron Smith
1215,L.A. Lakers,James Williams,Brian Forte,Marat Kogut
1215,Indiana,James Capers,Derrick Collins,Brandon Schwab
1215,New Orleans,Josh Tiven,Michael Smith,Jenna Schroeder
1215,Charlotte,Tony Brothers,Gediminas Petraitis,John Conley
1215,Minnesota,Mark Lindsay,Mitchell Ervin,Nick Buchert
1215,LA Clippers,Sean Wright,Eric Dalen,Mousa Dagher
1215,Memphis,Kane Fitzgerald,Brent Barnaky,Danielle Scott
1215,Washington,Kevin Cutler,Jacyn Goble,Matt Boland
